"source","target","developer_comments"
"mod_name","Ad Astra Remake",""
"mod_description","\n 对热门的 Ad Adstra 模组进行了重构版本\n
为天体添加了图标\n
重构了 23 个天体（均添加了描述，并对其中的资源进行了小幅调整）\n
目前支持英语、德语和中文\n
如果您有任何反馈或希望添加新功能，请告知我\n
适用于游戏版本 0.15.xx\n",""
"phobos","火卫一",""
"deimos","火卫二",""
"ceres","谷神星",""
"pallas","智神星",""
"vesta","灶神星",""
"juno","婚神星",""
"iapetus","土卫八",""
"hyperion","土卫七",""
"reha","瑞亚",""
"dione","土卫四",""
"tethys","土卫三",""
"mimas","土卫一",""
"oberon","天卫四",""
"titania","天卫三",""
"umbriel","天卫二",""
"ariel","天卫一",""
"miranda","天卫五",""
"eris","阋神星",""
"makemake","鸟神星",""
"pluto","冥王星",""
"charon","冥卫一",""
"haumea","妊神星",""
"rhea","土卫五",""
"proteus","海卫八",""
"phobos_description","<b>火卫一</>\n 火卫一是火星最大的卫星，以其不规则的形状为特征，直径约为22.4公里。它几乎没有大气层，因此成为探索的理想目的地。大约五千万年后，它将与火星相撞，形成类似土星但更小的环状结构。此处可发现少量矿物。",""
"deimos_description","<b>火卫二</>\n 火卫二是火星较小且最外层的卫星，由于覆盖着更厚的风化层，其表面比火卫一更平滑、陨石坑更少。它是太阳系中已知最小的卫星之一，其环绕火星的轨道距离比火卫一远得多。",""
"ceres_description","<b>谷神星</>\n 谷神星是小行星带中最大的天体，也是其中唯一的矮行星。它具有分层结构，拥有岩石核心和冰质地幔，被认为含有大量的水。奥卡托陨石坑中的明亮斑点，被认为是由盐类沉积物组成，是其最引人注目的特征之一。",""
"pallas_description","<b>智神星</>\n 智神星是小行星带中第二大的小行星，形状不规则且布满陨石坑。它富含硅酸盐，并显示出部分分异的证据。与大多数小行星相比，智神星的轨道倾角异常倾斜。",""
"vesta_description","<b>灶神星</>\n 灶神星是地球上可见最亮的小行星，拥有分异的内部结构，包括金属核心、硅酸盐地幔和地壳。其表面特征包括巨大的撞击盆地，如雷亚希尔维亚盆地，其中心山峰是太阳系中最高的山峰之一。由于其复杂的地质历史，灶神星被视为一颗原行星。",""
"juno_description","<b>婚神星</>\n 婚神星是小行星带中一颗相对较小的小行星，以其高反照率和富含硅酸盐的成分而著称。它形状不规则，缺乏灶神星和谷神星等大型小行星所具有的地质复杂性。",""
"iapetus_description","<b>土卫八</>\n 土卫八是土星的一颗卫星，以其两极分明的外观而闻名：一个半球深暗，另一个半球明亮。其赤道脊使其呈现出独特的核桃状外形，低密度表明它主要由水冰构成，并含有少量岩石核心。",""
"hyperion_description","<b>土卫七</>\n 土卫七是土星一颗形状不规则、呈海绵状的卫星，以其高度多孔的结构而著称。其混沌的自转和布满陨石坑的表面，使其成为太阳系中最奇特的卫星之一。",""
"rhea_description","<b>土卫五</>\n 土卫五是土星第二大卫星，主要由水冰构成，含有一个小的岩石核心。其表面布满陨石坑，并有被认为是冰沉积物的明亮条纹。它可能拥有由氧气和二氧化碳组成的稀薄大气层。",""
"dione_description","<b>土卫四</>\n 土卫四是土星的一颗卫星，表面布满陨石坑，其后半球有明亮的丝状条纹，那是冰崖的特征。这些特征表明它过去可能曾发生过构造活动。与土卫五类似，它主要由水冰和少量岩石物质组成。",""
